question,document
"I just found this course — is it too late to join now, or can I still sign up?",74eb249bbf
"Can I start the course after it already began, or do I have to wait for the next run?",74eb249bbf
"If I join late, am I still eligible for a certificate somehow?",74eb249bbf
Do I need to complete and submit my project before submissions close in order to get the certificate?,74eb249bbf
What’s the deadline for the project if I want the certificate for this course?,74eb249bbf
"I registered for the LLM Zoomcamp, but I still haven’t gotten any confirmation email — is something wrong, or am I already good to go?",977bf7786c
Do I actually need a registration confirmation before I can start the LLM Zoomcamp and submit homework?,977bf7786c
"If there’s no email after signing up for the course, does that mean I’m not accepted, or can I just begin anyway?",977bf7786c
"Is registration for the LLM Zoomcamp required for access, or is it only for measuring interest before the course starts?",977bf7786c
Can I start learning and turning in homework for the LLM Zoomcamp without waiting for any approval message or registered-list check?,977bf7786c
How do I join the Office Hours or live workshop stream if I’m a student?,489dd1c9d9
Where can I watch the live sessions for the course if I don’t have the Zoom link?,489dd1c9d9
"Why can’t students get the Zoom URL for office hours, and what should we use instead?",489dd1c9d9
Where is the live video link posted before an office hours session starts?,489dd1c9d9
"If I want to ask a question during the live workshop, should I use chat or Slido?",489dd1c9d9
"Where should I begin if I’m just starting LLM Zoomcamp, and what pages/docs should I check first?",04919992b3
"Can I start the course anytime, or is there a fixed start date I have to wait for?",04919992b3
What’s the usual weekly routine for this course from watching videos to turning in homework?,04919992b3
"Where are the deadlines posted, and how do I know when homework needs to be submitted?",04919992b3
"Is homework basically the same as the lesson exercises, or does it change the dataset/task?",04919992b3
I don’t see my name on the leaderboard — how do I find my own entry?,c2903069a0
What name do I show on the leaderboard by default when I create an account?,c2903069a0
Where can I check or change my display name for the course?,c2903069a0
Can I use my Slack or GitHub name instead of the random nickname?,c2903069a0
What do I need to enter so my certificate won’t show the default name?,c2903069a0
"Can I do the course on my own schedule and still get a certificate, or is it only for people in the live cohort?",69d122f12e
"If I study the course in self-paced mode, will I get any certificate at the end?",69d122f12e
Why aren't certificates given for the self-paced version of the course?,69d122f12e
Do I need to peer-review other students' capstone projects in order to qualify for the certificate?,69d122f12e
"Is it possible to submit peer reviews after the course is over, or does that only work while the cohort is running?",69d122f12e
I missed the first homework — can I still get the course certificate if I do the capstone project?,9f689c185f
"Do I have to complete every homework assignment to receive the certificate, or is passing the final project enough?",9f689c185f
"If homework isn’t mandatory, what do I need to pass in order to get the certificate for this course?",9f689c185f
"Will skipping the first homework stop me from getting a certificate, even if I finish the capstone?",9f689c185f
"Are homework points required for the certificate, or do they only affect the leaderboard ranking?",9f689c185f
Why does the homework content keep changing before it’s released?,96286b4be4
What does it mean when a homework title has [DRAFT] in it?,96286b4be4
How can I tell if a homework is actually ready to do?,96286b4be4
Is it safe to start working on homework early even if it’s still changing?,96286b4be4
When is homework considered final and no longer likely to change?,96286b4be4
When is the next run of this course starting?,bd31146b0e
Do you know when the course will be offered again?,bd31146b0e
Is there a date for the next course session?,bd31146b0e
When can I expect the next offering of the course?,bd31146b0e
Will this course be available again in Summer 2027?,bd31146b0e
Where can I find the course videos for each lesson?,31456f4b5f
Is there a main place I should start instead of searching YouTube first?,31456f4b5f
How do I get to the lecture videos from the lesson pages?,31456f4b5f
What’s the easiest way to find the videos for this course?,31456f4b5f
Should I use the GitHub repo or the YouTube playlist to track down the lectures?,31456f4b5f
Where do I check the LLM Zoomcamp syllabus and current cohort structure?,20c5a1347e
Is there one place to see homework and deadlines for the LLM Zoomcamp?,20c5a1347e
How can I track my progress in LLM Zoomcamp during the course?,20c5a1347e
What platform should I use for all LLM Zoomcamp course info and updates?,20c5a1347e
Does LLM Zoomcamp have a management site like the other DataTalks.Club Zoomcamps?,20c5a1347e
"Do you guys have live classes or office hours for every module, or is it all recorded?",d65e05bd7a
"If I get stuck on a lesson, where should I ask for help and is there any guide for that?",d65e05bd7a
"Are live sessions part of the course schedule, or do they only happen sometimes?",d65e05bd7a
"Is there an option for paid extra support with regular Zoom office hours, or is everything free?",d65e05bd7a
Where can I find the module materials if there aren't separate live sessions each week?,d65e05bd7a
Can I count my Bluesky posts toward the learning in public credits for this course?,dbf5369006
Does posting on Bluesky qualify for the learning in public requirement?,dbf5369006
Are Bluesky updates accepted as learning in public credits?,dbf5369006
"If I share my course progress on Bluesky, will that be eligible for credits?",dbf5369006
Can I use Bluesky activity to get learning in public credit for llm-zoomcamp?,dbf5369006
"Is there a Telegram group for LLM Zoomcamp, and what link should I join?",054f3fd58f
Where do course announcements get posted for LLM Zoomcamp?,054f3fd58f
Should I ask technical questions in the Telegram channel or somewhere else?,054f3fd58f
What’s the Slack channel for LLM Zoomcamp used for?,054f3fd58f
"I found the Telegram channel link, but is it mainly for updates or actual course support?",054f3fd58f
Why is my FAQ record count different from the one shown in the videos?,e2d595f23c
"I’m getting a different number of rows in the FAQ data than the lecture, is that normal?",e2d595f23c
"Does the FAQ dataset change over time, and could that explain mismatched counts?",e2d595f23c
The videos show one FAQ total but my code returns another — what’s going on?,e2d595f23c
Why do the FAQ examples in the course not match the current dataset size?,e2d595f23c
Can I still turn in the homework if the deadline already passed but the form is still open?,a9353fadfe
"The due date is over, but the submission page hasn’t closed yet — does that mean I can still submit?",a9353fadfe
"If the homework form is open after the deadline, is my submission still accepted?",a9353fadfe
When do I actually lose the ability to submit: right after the deadline or only once the form closes?,a9353fadfe
"I missed the deadline, but the form is still available — should I go ahead and send my answers?",a9353fadfe
"Can I still hand in homework after the deadline has passed, or is it closed for good?",cdc3b285e5
Do you ever give individual extensions for homework deadlines?,cdc3b285e5
"If I miss one homework, will that stop me from getting the certificate?",cdc3b285e5
Are late homework submissions allowed as long as the form is still open?,cdc3b285e5
"Does skipping homework affect the final certificate, or only the leaderboard ranking?",cdc3b285e5
