question,answer_llm,answer_orig,document
"I just found this course — is it too late to join now, or can I still sign up?","Yes, you can still join.

If you just discovered the course, you can start learning and submitting while the submission form is open. If you want a certificate, you need to submit your project while submissions are still being accepted.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"Can I start the course after it already began, or do I have to wait for the next run?","You can start whenever you want — you do **not** have to wait for the next run. The videos and GitHub materials are available, and deadlines are listed in the course management platform.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"If I join late, am I still eligible for a certificate somehow?","No. You can only get a certificate if you finish the course with a “live” cohort. Self-paced mode doesn’t qualify, because you need to peer-review 3 capstone projects while the course is running.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Do I need to complete and submit my project before submissions close in order to get the certificate?,"Yes — to get the certificate, you need to submit your project while submissions are still open, and you also need to participate in peer-reviewing 3 peers in your cohort.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
What’s the deadline for the project if I want the certificate for this course?,I don’t know.,"Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"I registered for the LLM Zoomcamp, but I still haven’t gotten any confirmation email — is something wrong, or am I already good to go?","You’re already good to go — no confirmation email is needed. Registration is just to gauge interest, and it’s not checked against a registered list. You can start learning and submitting homework while the form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Do I actually need a registration confirmation before I can start the LLM Zoomcamp and submit homework?,"No—you don’t need a registration confirmation. You’re accepted, and you can start learning and submit homework while the form is open. Registration is just to gauge interest, and it isn’t checked against a registered list.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"If there’s no email after signing up for the course, does that mean I’m not accepted, or can I just begin anyway?","You don’t need to wait for a confirmation email. You’re accepted, and you can just start learning and submitting homework while the form is open, even without registering.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"Is registration for the LLM Zoomcamp required for access, or is it only for measuring interest before the course starts?","Registration is **not required for access**. You can start learning and submitting homework while the form is open, and it’s **not checked against a registered list**. Registration is mainly **to gauge interest before the course starts**.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Can I start learning and turning in homework for the LLM Zoomcamp without waiting for any approval message or registered-list check?,Yes. You can start learning and submit homework while the form is open without waiting for any approval email. Registration is not checked against a registered list.,You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
How do I join the Office Hours or live workshop stream if I’m a student?,"If you’re a student, you join live Office Hours/workshops via **YouTube Live**, not the Zoom room.

- The **Zoom link is only for instructors/presenters/TAs**
- The **YouTube video link** is posted in the **announcements channel on Telegram and Slack** before the session starts
- You can also watch on the **DataTalksClub YouTube Channel**
- Ask live questions through **Slido** (the link is pinned in the chat when the session is live)
- Don’t post questions in the chat, since they may get missed if the room is active","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
Where can I watch the live sessions for the course if I don’t have the Zoom link?,"If you don’t have the Zoom link, you can watch the live sessions on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub). The video URL is also posted in the announcements channel on Telegram and Slack before the session begins.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
