question,document,score,reasoning
"I just found this course — is it too late to join now, or can I still sign up?",74eb249bbf,good,"The AI answer preserves the core message: it is still possible to join, and certification depends on submitting the project while submissions are still accepted. This matches the ground truth semantically, with only added explanatory detail."
"Can I start the course after it already began, or do I have to wait for the next run?",74eb249bbf,bad,"The ground truth says you can start after the course has begun, but adds an important condition: to receive a certificate, you must submit your project while submissions are still being accepted. The AI answer correctly states that you do not have to wait for the next run and that materials are available, but it omits the certificate/submission deadline condition, which is the key nuance in the original answer."
"If I join late, am I still eligible for a certificate somehow?",74eb249bbf,bad,The AI answer contradicts the ground truth. The original says late joiners can still be eligible for a certificate as long as they submit their project while submissions are still open. The AI says no and adds an unsupported requirement about finishing with a live cohort and peer-reviewing 3 projects. This changes the meaning and is incorrect.
Do I need to complete and submit my project before submissions close in order to get the certificate?,74eb249bbf,good,"The AI answer preserves the core point from the ground truth: you must submit your project before submissions close in order to get the certificate. It adds an extra requirement about peer-reviewing 3 peers, which may or may not be true, but it does not contradict the stated answer. Since the key information is present, it is semantically equivalent enough."
What’s the deadline for the project if I want the certificate for this course?,74eb249bbf,bad,"The ground truth says a certificate is available if the project is submitted while submissions are still being accepted. The AI answer does not convey this and instead says it doesn’t know, so it misses the key information."
"I registered for the LLM Zoomcamp, but I still haven’t gotten any confirmation email — is something wrong, or am I already good to go?",977bf7786c,good,"The AI answer matches the ground truth: it says no confirmation email is needed, the user is already accepted/good to go, registration is only to gauge interest, and homework can be submitted while the form is open without being checked against a registered list. This preserves the key meaning accurately."
Do I actually need a registration confirmation before I can start the LLM Zoomcamp and submit homework?,977bf7786c,good,"The AI answer matches the ground truth: it clearly states that registration confirmation is not needed, the student is accepted, homework can be submitted while the form is open, and registration is only for gauging interest rather than being checked against a list. No key information is missing or incorrect."
"If there’s no email after signing up for the course, does that mean I’m not accepted, or can I just begin anyway?",977bf7786c,good,"The AI answer matches the ground truth: no email is needed, the student is accepted, and they can begin learning and submitting homework while the form is open even without registering. It omits the detail that registration is only to gauge interest and that it is not checked against a registered list, but that does not change the core meaning."
"Is registration for the LLM Zoomcamp required for access, or is it only for measuring interest before the course starts?",977bf7786c,good,"The AI answer matches the ground truth: it states registration is not required, students can start learning and submit homework while the form is open, there is no registered-list check, and registration is only to gauge interest before the course starts. It preserves all key points."
Can I start learning and turning in homework for the LLM Zoomcamp without waiting for any approval message or registered-list check?,977bf7786c,good,"The AI answer matches the ground truth: it says the student can start learning and submit homework without waiting for approval, and that registration is not checked against a registered list. It preserves the key point that registration is only for interest-gauging, though it omits the explicit 'you're accepted' phrasing. That omission does not change the meaning."
How do I join the Office Hours or live workshop stream if I’m a student?,489dd1c9d9,good,"The AI answer matches the ground truth: students use YouTube Live, Zoom is only for instructors/presenters/TAs, the link is posted in Telegram/Slack announcements and on the DataTalksClub YouTube channel, questions go through Slido, and chat questions are discouraged. No key information is missing or incorrect."
Where can I watch the live sessions for the course if I don’t have the Zoom link?,489dd1c9d9,good,"The AI answer matches the ground truth: it states that students can watch live sessions on the DataTalksClub YouTube channel and that the video URL is posted in the announcements channel on Telegram and Slack before the session begins. It omits the Slido/question-submission and Zoom-link-to-instructors detail, but these are extra details rather than the core answer to where to watch live sessions."
"Why can’t students get the Zoom URL for office hours, and what should we use instead?",489dd1c9d9,good,"The AI answer captures the key points: the Zoom URL is restricted to instructors/presenters/TAs, and students should use YouTube Live and Slido, with the session link posted in Telegram/Slack announcements. It omits the note about not posting questions in chat and the specific YouTube channel, but these are additional details rather than essential to the question."
Where is the live video link posted before an office hours session starts?,489dd1c9d9,good,"The AI answer states that the live video URL is posted in the announcements channel on Telegram and Slack before the session starts, which matches the key information in the ground truth. It omits additional details about YouTube Live, Slido, and the private Zoom link, but those are extra and not required for answering the question."
"If I want to ask a question during the live workshop, should I use chat or Slido?",489dd1c9d9,good,"The AI answer matches the key point of the ground truth: students should use Slido, not chat, because chat questions may be missed. It preserves the essential guidance accurately, with only minor omission of additional context about YouTube Live and link locations, which is not necessary for this question."
"Where should I begin if I’m just starting LLM Zoomcamp, and what pages/docs should I check first?",04919992b3,good,"The AI answer matches the ground truth: it names the same three starting resources (LLM Zoomcamp docs, logistics docs, GitHub repo), correctly states that you can start anytime, mentions the course management platform for deadlines, and gives the same typical workflow for videos, notebooks, homework, and submission. The extra offer about Module 1 is fine and does not change the core answer."
"Can I start the course anytime, or is there a fixed start date I have to wait for?",04919992b3,good,"The AI answer correctly states that you can start whenever you want and that there is no fixed start date, with videos and GitHub materials available. This matches the key point of the original answer. It omits additional details about deadlines, workflow, and links, but those are not necessary for semantic equivalence to the question asked."
What’s the usual weekly routine for this course from watching videos to turning in homework?,04919992b3,good,"The AI answer captures the same typical weekly routine and the note that homework is similar but uses a different dataset or slightly different task. It omits the introductory pointers to the course docs, logistics docs, GitHub repo, and the fact that you can start whenever you want, but those are extra context rather than the core answer to the question asked."
"Where are the deadlines posted, and how do I know when homework needs to be submitted?",04919992b3,good,"The AI answer correctly identifies that deadlines are posted on the LLM Zoomcamp course management platform and that homework submission timing should be checked there. It also mentions GitHub homework instructions for context, which aligns with the original answer. It omits the broader recommendation to start with the docs and the specific workflow details, but those are not essential to the question asked."
"Is homework basically the same as the lesson exercises, or does it change the dataset/task?",04919992b3,good,"The AI answer directly matches the key point in the ground truth: homework is similar to the lesson exercises but uses a different dataset or slightly different task. It omits the extra logistics/start-here details, but those are not necessary for answering the question."
I don’t see my name on the leaderboard — how do I find my own entry?,c2903069a0,good,"The AI answer correctly states that the user can find their entry by clicking ""Jump to your record on the leaderboard"" and mentions that a random display name is assigned automatically. It also correctly notes that ""Edit Course Profile"" can be used to check or change the public name. The extra details about the two profile fields and certificate name are omitted, but the core answer to the question is preserved."
What name do I show on the leaderboard by default when I create an account?,c2903069a0,good,"The AI answer correctly states that a random nickname is shown by default on the leaderboard and gives the same example name as the ground truth. It omits the extra instructions about finding your entry and viewing/editing the display name, but those are not required to answer the question."
Where can I check or change my display name for the course?,c2903069a0,good,"The AI answer correctly identifies 'Edit Course Profile' as the place to check or change the display name and captures the key distinction between the first field being the public/display name and the second being the certificate name. It omits some extra context from the ground truth, but the core answer is equivalent."
Can I use my Slack or GitHub name instead of the random nickname?,c2903069a0,good,"The AI answer correctly states that the first field in Edit Course Profile can be changed to a Slack or GitHub username or another nickname. It captures the key point that the random nickname is not mandatory for the displayed name. However, it omits the important distinction that the second field is the official name used for the certificate and that changing the display name does not affect that. Since the question specifically asks about using Slack or GitHub name instead of the random nickname, the core answer is still correct."
What do I need to enter so my certificate won’t show the default name?,c2903069a0,good,"The AI answer correctly states that the official name should be entered in the second field of Edit Course Profile to avoid the default certificate name, and it preserves the key point that this name must match identification documents. It omits some extra context about the first field and how to locate the record, but those are not necessary to answer the question."
"Can I do the course on my own schedule and still get a certificate, or is it only for people in the live cohort?",69d122f12e,good,"The AI answer matches the ground truth: it says self-paced mode does not earn a certificate, and certificates are only for completing the course with a live cohort. It also correctly explains the peer-review requirement and why self-paced mode is excluded. No key information is missing or contradicted."
"If I study the course in self-paced mode, will I get any certificate at the end?",69d122f12e,good,"The AI answer correctly states that no certificate is awarded for self-paced mode and that a certificate is only available when finishing with a live cohort. It preserves the core meaning of the ground truth, though it omits the explanation about peer-review requirements. That omission does not change the answer."
Why aren't certificates given for the self-paced version of the course?,69d122f12e,good,"The AI answer matches the ground truth: it states that certificates are not given for the self-paced version, explains that a certificate requires completing the live cohort, and correctly notes the peer-review requirement and timing constraint. The meaning is preserved."
Do I need to peer-review other students' capstone projects in order to qualify for the certificate?,69d122f12e,bad,"The AI answer gives the opposite of the ground truth. The correct answer says you do not qualify for a certificate in self-paced mode and that certificates are only awarded for a live cohort, where peer review of 3 capstones is required during the course run. The AI answer says peer-reviewing 3 projects is what you need to qualify, without mentioning the live cohort restriction and implying peer review alone is sufficient. This changes the meaning materially."
"Is it possible to submit peer reviews after the course is over, or does that only work while the cohort is running?",69d122f12e,good,"The AI answer correctly states that peer reviews only work while the cohort/course is running and that once the form is closed and the peer-review list is compiled, submissions are no longer possible. This matches the key point of the ground truth, though it omits the certificate/self-paced explanation. The omission does not change the core answer to the question."
I missed the first homework — can I still get the course certificate if I do the capstone project?,9f689c185f,good,"The AI answer matches the ground truth: it states that the certificate depends on passing the Capstone project, and that homework is not mandatory but recommended. It preserves the key meaning and adds no incorrect information."
"Do I have to complete every homework assignment to receive the certificate, or is passing the final project enough?",9f689c185f,good,"The AI answer matches the ground truth: it states that homework is not mandatory and that passing the Capstone project is required for the certificate. It omits the extra note about homework points contributing to leaderboard rank, but that is not essential to the question asked."
